內湖科技一樓商務黃金店面-歡迎久租,rent-detail-3405862.html,"內湖科技一樓商務黃金店面-歡迎久租黃金曝光
內湖科技一樓商務黃金店面-歡迎久租
內湖科技一樓商務黃金店面-歡迎久租
黃金曝光
千禧科技大廈　台北市-內湖區 洲子街71號
辦公，樓層：1/10
8分鐘內更新  屋主 張小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",268.7坪,"859,968元",http://p2.cdn.591.com.tw/house/active/2014/06/02/140167740569369608_128x92.jpg
近捷運-環境佳-屋超所值!地下一樓,rent-detail-3335438.html,"近捷運-環境佳-屋超所值!地下一樓黃金曝光
近捷運-環境佳-屋超所值!地下一樓
近捷運-環境佳-屋超所值!地下一樓
黃金曝光
台北市-中正區 重慶南路三段15巷3號
辦公，樓層：B1/6
8分鐘內更新  屋主 洪先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",30坪,"18,000元",http://p2.cdn.591.com.tw/house/active/2015/04/07/142839711814868609_128x92.jpg
[包水電]全新裝潢辦公室OA全(8坪),rent-detail-3435482.html,"[包水電]全新裝潢辦公室OA全(8坪)黃金曝光
[包水電]全新裝潢辦公室OA全(8坪)
[包水電]全新裝潢辦公室OA全(8坪)
黃金曝光
台北市-中山區 合江街116巷10號
辦公，樓層：3/4
13分鐘內更新  屋主 林先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",8坪,"15,000元",http://p1.cdn.591.com.tw/house/active/2015/06/06/143356311710857608_128x92.jpg
公司登記，工商設立聯絡處只要2500元！,rent-detail-3414985.html,"公司登記，工商設立聯絡處只要2500元！黃金曝光
公司登記，工商設立聯絡處只要2500元！
公司登記，工商設立聯絡處只要2500元！
黃金曝光
三普企業大樓　台北市-大安區 忠孝東路四段169號
辦公，樓層：12/12
13分鐘內更新  屋主 徐小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",1坪,"2,500元",http://p2.cdn.591.com.tw/house/active/2015/05/08/143101512465722509_128x92.jpg
70坪高樓層優質辦公室,rent-detail-3390612.html,"70坪高樓層優質辦公室黃金曝光
70坪高樓層優質辦公室
70坪高樓層優質辦公室
黃金曝光
鴻運大廈　台北市-中山區 吉林路150號
辦公，樓層：11/12
18分鐘內更新  屋主 楊先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",70坪,"69,000元",http://p2.cdn.591.com.tw/house/active/2015/05/28/143277483391758004_128x92.jpg
昆陽站步行1分鐘、辦公室分租,rent-detail-3434626.html,"昆陽站步行1分鐘、辦公室分租黃金曝光
昆陽站步行1分鐘、辦公室分租
昆陽站步行1分鐘、辦公室分租
黃金曝光
新台北資訊大樓　台北市-南港區 忠孝東路六段
辦公，樓層：9/12
18分鐘內更新  代理人 黃小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",112.5坪,"150,000元",http://p2.cdn.591.com.tw/house/active/2015/05/12/143141796258548801_128x92.jpg
文湖松山雙捷運大面窗單人房可雙人,rent-detail-3435950.html,"文湖松山雙捷運大面窗單人房可雙人黃金曝光
文湖松山雙捷運大面窗單人房可雙人
文湖松山雙捷運大面窗單人房可雙人
黃金曝光
永瑞大樓　台北市-松山區 南京東路三段305號
辦公，樓層：5/12
23分鐘內更新  屋主 Helen 何  
地圖收藏問答(0)
地圖
收藏
問答(0)",4.2坪,"12,500元",http://p2.cdn.591.com.tw/house/active/2015/05/15/143167071363268400_128x92.jpg
全新完工2-4人微型商辦101窗景,rent-detail-3387349.html,"全新完工2-4人微型商辦101窗景黃金曝光
全新完工2-4人微型商辦101窗景
全新完工2-4人微型商辦101窗景
黃金曝光
裕台大樓　台北市-大安區 復興南路一段368號
辦公，樓層：11/15
23分鐘內更新  屋主 莊先生  
地圖收藏問答(2)
地圖
收藏
問答(2)",4坪,"13,000元",http://p1.cdn.591.com.tw/house/active/2015/06/09/143382120802105807_128x92.jpg
公司-工商登記近忠孝敦化站,rent-detail-3376622.html,"公司-工商登記近忠孝敦化站黃金曝光
公司-工商登記近忠孝敦化站
公司-工商登記近忠孝敦化站
黃金曝光

台北市-大安區 忠孝東路四段176-1號
辦公，樓層：2/2
28分鐘內更新  代理人 羅小姐  
地圖收藏問答(0)
地圖
收藏
問答(0)",3.5坪,"13,000元",http://p2.cdn.591.com.tw/house/active/2012/12/24/135635898515992808_128x92.jpg
市府捷運誠品商務中心工商借址登記,rent-detail-3416893.html,"市府捷運誠品商務中心工商借址登記黃金曝光
市府捷運誠品商務中心工商借址登記
市府捷運誠品商務中心工商借址登記
黃金曝光
統一國際大樓　台北市-信義區 松高路9號
統一國際大樓
辦公，樓層：27/30
28分鐘內更新  代理人 林先生  
地圖收藏問答(0)
地圖
收藏
問答(0)",3坪,"2,000元",http://p2.cdn.591.com.tw/house/active/2014/08/26/140905048169143607_128x92.jpg
